date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-02-28,2.9,-11.1,-7.65,-18.2,,-25,81,65.2,63,45,-1.9,-16.6,-13.3,-24.7,66,36.71,38.5,11,47,36,102.79,101.47,101.06,99.33,99.68,98.45,98.05,96.42,24100,23033.3,19300,14500,2.4,2.2,2.2,2,25.6,0,0,0,0,0,,,2,07:14:00,1740748440,7.23,18:09:00,1740787740,18.15,10.92,1,2,-12,-10,-20,-20,19,,,,,8,4,4,0,,,,
2025-02-27,2.8,-3.12,-2.75,-8.3,,-14,94,82.9,83,72,0.3,-5.6,-4.8,-9.9,51,20.92,27.5,4,65,31,101.82,100.98,100.47,99.12,98.82,98,97.51,96.21,24100,24033.3,23300,22500,2.5,2.1,2.2,1.9,20.8,0,0,0,0,0,,,2,07:16:00,1740662160,7.27,18:07:00,1740701220,18.12,10.85,2,2,1,1,-9,-8,14,,,,,8,6.4,5,2,,,,
2025-02-26,1.8,-1,-1.9,-5.6,,-10,100,91.4,90.5,81,-0.5,-2.2,-3.2,-6,26,17.75,17.5,9,45,33,101.42,101.16,101.08,100.73,98.44,98.19,98.11,97.78,24100,18287.5,12450,800,3,2.7,2.8,2.5,19.9,0,0,0,0,0.2,,,2,07:18:00,1740575880,7.3,18:06:00,1740614760,18.1,10.8,1,2,2,2,-5,-5,13,,,,,8,6.4,4,0,,,,
2025-02-25,2.6,-0.32,-0.5,-3.6,,-10,100,89,89,78,0.7,-1.9,-2.5,-5.7,30,19.75,17,4,34,19,100.97,100.66,100.72,100.46,98.02,97.71,97.76,97.51,24100,20758.3,12850,1600,2.6,2.4,2.4,2.2,18.5,0,0,0,0,0,,,1,07:20:00,1740489600,7.33,18:04:00,1740528240,18.07,10.73,2,2,4,4,-4,-3,20,,,,,8,3.9,4,0,,,,
2025-02-24,3.4,1.13,0.75,-1.9,,-5,95,85.8,85.5,76,0,-1,-2.3,-4.6,44,20.67,22,0,54,28,100.93,100.14,100.07,99.21,97.98,97.22,97.14,96.31,24100,23700,21700,19300,2.5,2.3,2.3,2.1,17.2,0,0,0,0,0,,,2,07:22:00,1740403320,7.37,18:02:00,1740441720,18.03,10.67,1,1,4,4,-6,-3,9,,,,,8,7.1,5.5,3,,,,
2025-02-23,3.7,-2.55,-3.1,-9.9,,-16,97,85.9,86.5,76,0.1,-4.7,-5.7,-11.4,40,24.42,20,0,48,26,101.32,100.14,100.2,99.08,98.32,97.18,97.24,96.17,24100,18445.8,12350,600,3,2.7,2.6,2.3,21.1,0,0,0,0,0,,,5,07:24:00,1740317040,7.4,18:01:00,1740355260,18.02,10.62,2,2,3,3,1,1,10,,,,,8,7,4.5,1,,,,
2025-02-22,-4.9,-6.5,-6.7,-8.5,,-14,91,80.8,83.5,76,-7.4,-9.3,-9.1,-10.8,18,12.04,11.5,5,,,101.69,101.53,101.5,101.31,98.67,98.51,98.48,98.29,24100,22300,18500,12900,3.4,3.1,3,2.6,24.7,0,0,0,0,0,,,5,07:26:00,1740230760,7.43,17:59:00,1740268740,17.98,10.55,2,2,-2,-2,-10,-7,17,,,,,8,7,5.5,3,,,,
2025-02-21,-7.2,-12.55,-12.25,-17.3,,-29,84,70.5,74,64,-10.3,-16.9,-15.9,-21.5,35,21.58,22,9,47,19,102.89,102.03,102.15,101.41,99.77,98.95,99.07,98.37,24100,24100,24100,24100,3.4,2.5,2.7,2,30.2,0,0,0,0,0,,,5,07:28:00,1740144480,7.47,17:57:00,1740182220,17.95,10.48,2,2,-9,-9,-9,-8,19,,,,,8,4.7,4.5,1,,,,
2025-02-20,-13.5,-19.49,-20.45,-27.4,,-36,74,59.5,58,42,-20.7,-25.7,-25.3,-29.9,32,14.25,18,4,45,19,104.19,103.82,103.57,102.95,100.98,100.63,100.41,99.83,24100,24100,24100,24100,4,2.8,3.1,2.3,38.5,0,0,0,0,0,,,5,07:30:00,1740058200,7.5,17:56:00,1740095760,17.93,10.43,2,2,-15,-15,-18,-18,21,,,,,7,1.2,3.5,0,,,,
2025-02-19,-17.1,-23.67,-22.85,-28.6,,-40,72,66.6,62.5,53,-23.1,-28.3,-27.7,-32.3,25,15.42,17.5,10,,,104.72,104.49,104.44,104.16,101.48,101.25,101.21,100.94,24100,24100,24100,24100,2.5,2.1,2.1,1.8,40.9,0,0,0,0,0,,,5,07:32:00,1739971920,7.53,17:54:00,1740009240,17.9,10.37,2,2,-17,-17,-29,-27,20,,,,,4,1.3,2,0,,,,
